match_id,date,tournament,tournament_tier,hunter_player,survivor1_player,survivor2_player,survivor3_player,survivor4_player,map_name,n_escaped,hunter_wins,source_file,source_row
167,2020-07-18,IVL_2020_summer_regular,IVL,ppx,weirdo,qingc,xiaod,jiu,"圣心医院",4,0,IVL_COA_2020-2024.json,37
168,2020-07-18,IVL_2020_summer_regular,IVL,xc,maozi,f,lpz,xmm,"圣心医院",2,,IVL_COA_2020-2024.json,37
169,2020-07-19,IVL_2020_summer_regular,IVL,yue,iron,long,mk,ak,"军工厂",2,,IVL_COA_2020-2024.json,38
170,2020-07-19,IVL_2020_summer_regular,IVL,ymm,ruoan,fox,zibi,sans,"军工厂",2,,IVL_COA_2020-2024.json,38
171,2020-07-19,IVL_2020_summer_regular,IVL,ymm,ruoan,fox,zibi,sans,"军工厂",2,,IVL_COA_2020-2024.json,38
172,2020-07-19,IVL_2020_summer_regular,IVL,yue,iron,long,mk,ak,"军工厂",3,0,IVL_COA_2020-2024.json,38
173,2020-07-19,IVL_2020_summer_regular,IVL,ymm,ruoan,fox,zibi,sans,"湖景村",3,0,IVL_COA_2020-2024.json,38
174,2020-07-19,IVL_2020_summer_regular,IVL,yue,iron,long,mk,ak,"湖景村",2,,IVL_COA_2020-2024.json,38
175,2020-07-19,IVL_2020_summer_regular,IVL,yue,iron,long,mk,ak,"圣心医院",3,0,IVL_COA_2020-2024.json,38
176,2020-07-19,IVL_2020_summer_regular,IVL,ken,ruoan,fox,zibi,sans,"圣心医院",2,,IVL_COA_2020-2024.json,38
177,2020-07-19,IVL_2020_summer_regular,IVL,kuaji,yjj,billy,tea,sxy,"红教堂",3,0,IVL_COA_2020-2024.json,39
178,2020-07-19,IVL_2020_summer_regular,IVL,afu,bbe,youzi,xiaoci,bobo,"红教堂",3,0,IVL_COA_2020-2024.json,39
179,2020-07-19,IVL_2020_summer_regular,IVL,yan,yjj,billy,tea,sxy,"军工厂",3,0,IVL_COA_2020-2024.json,39
180,2020-07-19,IVL_2020_summer_regular,IVL,afu,bbe,youzi,xiaoci,bobo,"军工厂",2,,IVL_COA_2020-2024.json,39
181,2020-07-19,IVL_2020_summer_regular,IVL,yan,yjj,billy,tea,sxy,"军工厂",0,1,IVL_COA_2020-2024.json,39
182,2020-07-19,IVL_2020_summer_regular,IVL,afu,bbe,youzi,xiaoci,bobo,"军工厂",1,1,IVL_COA_2020-2024.json,39
183,2020-07-19,IVL_2020_summer_regular,IVL,dongx,maozi,f,lpz,xmm,"军工厂",0,1,IVL_COA_2020-2024.json,40
184,2020-07-19,IVL_2020_summer_regular,IVL,ppx,zyj,"xc(仙茶)",ww,9j,"军工厂",2,,IVL_COA_2020-2024.json,40
185,2020-07-19,IVL_2020_summer_regular,IVL,ppx,zyj,xm,ww,9j,"军工厂",1,1,IVL_COA_2020-2024.json,40
