player_id,role,beta,n_games,first_seen,last_seen
nekuro,hunter,-0.06195801389359867,1,2020-08-14,2020-08-14
liu,hunter,-0.0622481266203813,5,2022-03-19,2022-03-27
silk,hunter,-0.06298940391493216,29,2020-08-14,2022-05-03
alcaraz,hunter,-0.06313491778126659,2,2025-02-22,2025-02-22
dinzuzn,hunter,-0.06367141806285845,1,2021-03-06,2021-03-06
xrr,hunter,-0.06477687097261522,17,2020-11-04,2021-04-17
lark,hunter,-0.06578390421379121,3,2021-03-21,2021-03-27
houo,hunter,-0.06609306952434962,2,2022-07-30,2022-07-30
sobin,hunter,-0.06610687069064557,2,2024-03-17,2024-03-17
joko,hunter,-0.06705414170266244,1,2021-09-11,2021-09-11
fearless,hunter,-0.06780373799005734,5,2021-08-07,2021-08-14
saiki,hunter,-0.06831558002357228,4,2020-10-10,2020-10-18
かちゅう,hunter,-0.07060673921735834,2,2021-06-12,2021-06-12
znian,hunter,-0.07252998327008801,2,2026-03-08,2026-03-08
shibata,hunter,-0.07393410665137849,3,2024-03-09,2024-03-09
longdeptrai,hunter,-0.07419844169682856,10,2020-10-02,2020-10-11
k,hunter,-0.0751885696235897,10,2021-11-13,2026-03-02
hoya,hunter,-0.07630915650718412,3,2023-02-24,2023-02-24
chamkkae,hunter,-0.07712930080908369,1,2023-06-24,2023-06-24
tree,hunter,-0.07712930080908369,1,2023-06-24,2024-03-17
紫の松本未来馆,hunter,-0.07753044371142931,1,2021-06-13,2021-06-13
irin,hunter,-0.07907585715113222,2,2025-02-22,2025-02-22
ukj,hunter,-0.08076863982060303,2,2024-04-13,2024-04-21
jiro,hunter,-0.080858895524574,1,2022-07-30,2022-07-30
xfy,hunter,-0.08105828231679717,5,2021-03-27,2021-04-16
quokka,hunter,-0.08262069966705086,2,2023-06-24,2023-06-25
shi,hunter,-0.08292439453594012,35,2020-10-02,2021-09-12
miraik,hunter,-0.08335838881403813,155,2021-03-07,2025-03-09
sixhua,hunter,-0.08384388019913042,2,2024-03-09,2024-03-09
zeus,hunter,-0.08481705018786682,2,2022-06-25,2022-06-25
leaf,hunter,-0.08606406284830286,4,2022-03-27,2026-03-21
saveagecat,hunter,-0.087008080411154,2,2021-03-07,2021-03-07
kani,hunter,-0.08732060099901712,5,2024-07-27,2024-07-28
sleepy,hunter,-0.08867506870977004,10,2023-06-10,2023-07-01
xiaoyu,hunter,-0.089183992944909,6,2023-03-04,2023-03-12
braveman,hunter,-0.08934771310591673,6,2023-03-12,2025-03-22
aka(@ps),hunter,-0.08961487755959248,4,2020-08-14,2020-08-15
santy,hunter,-0.08982776941567984,5,2022-06-25,2023-06-24
duke,hunter,-0.09054815759478911,1,2021-02-27,2021-02-27
auchan,hunter,-0.09083825874258918,6,2026-02-27,2026-03-07
allforone,hunter,-0.09094229847805153,1,2022-02-19,2022-02-19
ryun,hunter,-0.09276093941034039,19,2023-02-24,2023-04-17
dark,hunter,-0.09343649692082674,20,2020-10-09,2022-02-27
mozuku,hunter,-0.09381138946539536,9,2022-07-30,2022-08-21
owl,hunter,-0.09505593189044154,1,2022-07-02,2022-07-30
heno,hunter,-0.09826495193385366,1,2024-03-16,2024-03-16
sydow,hunter,-0.09854384852808769,3,2020-10-10,2020-10-24
haisya,hunter,-0.09888423563962412,1,2022-07-03,2022-07-03
panchu,hunter,-0.09888423563962412,1,2022-07-03,2022-07-03
nonino,hunter,-0.09982783752581247,82,2020-08-16,2022-08-26
lxue,hunter,-0.10044630949248994,7,2024-03-17,2025-02-22
xchen,hunter,-0.10079327606805873,3,2023-03-12,2023-03-12
nano,hunter,-0.10207922540210165,2,2022-12-03,2022-12-03
flowsovo,hunter,-0.10241970657815092,2,2026-03-08,2026-03-14
dwd,hunter,-0.10247758056313137,22,2021-08-08,2023-08-05
kotul,hunter,-0.10601553920856265,2,2021-02-26,2021-02-26
zed,hunter,-0.10720439137163554,6,2021-08-08,2023-08-27
wlmy,hunter,-0.10754541571954061,4,2023-03-04,2023-03-12
yind,hunter,-0.10785541555331835,3,2024-07-14,2024-07-15
myoonn,hunter,-0.10799128586057725,1,2025-03-01,2025-03-01
wu,hunter,-0.10884836063938012,19,2024-11-16,2025-03-15
天心,hunter,-0.10902652177697716,12,2021-03-21,2021-04-16
zhan,hunter,-0.1090819349142744,7,2022-07-02,2024-03-09
sito,hunter,-0.11050753260380675,4,2024-03-09,2024-03-10
peachgn,hunter,-0.1105314527416363,1,2024-03-17,2024-03-17
ppx,hunter,-0.11156760882691509,357,2020-06-25,2024-03-30
ynight,hunter,-0.11237926076771053,1,2024-03-17,2024-03-17
yanasa,hunter,-0.11278651227486919,42,2020-08-09,2024-03-15
yue,hunter,-0.11332552352661597,484,2020-06-25,2024-03-30
