tau_post,alpha,tau_pre,shift_date,fold,test_period,rmse,null_rmse,r2
30.0,0.5,110.0,2023-01-01,1,2021-07-11→2022-08-06,1.1291544978631993,1.1537480507648972,0.04217806831132054
30.0,0.5,110.0,2023-01-01,2,2022-08-06→2023-10-13,1.0678852688221572,1.09055673129318,0.041145599440413516
30.0,0.5,110.0,2023-01-01,3,2023-10-13→2024-10-19,1.1420620515684259,1.154605324976626,0.02160935867236735
30.0,0.5,110.0,2023-01-01,4,2024-10-19→2025-07-25,1.1073391876814085,1.1625760678151191,0.09276753729254206
30.0,0.5,110.0,2023-01-01,5,2025-07-25→2026-05-05,1.0418632000011527,1.1384964393796808,0.16255162640446363
30.0,0.8,110.0,2023-01-01,1,2021-07-11→2022-08-06,1.1333582454752662,1.1537480507648972,0.035033011158796534
30.0,0.8,110.0,2023-01-01,2,2022-08-06→2023-10-13,1.0693900951449258,1.09055673129318,0.03844132767575403
30.0,0.8,110.0,2023-01-01,3,2023-10-13→2024-10-19,1.1415419617943117,1.154605324976626,0.02250026491123025
30.0,0.8,110.0,2023-01-01,4,2024-10-19→2025-07-25,1.1072737832774031,1.1625760678151191,0.09287470453962166
30.0,0.8,110.0,2023-01-01,5,2025-07-25→2026-05-05,1.0418182538069527,1.1384964393796808,0.16262388023842334
30.0,1.0,110.0,2023-01-01,1,2021-07-11→2022-08-06,1.1360573985572937,1.1537480507648972,0.030431297408217817
30.0,1.0,110.0,2023-01-01,2,2022-08-06→2023-10-13,1.070629782675843,1.09055673129318,0.03621066698079589
30.0,1.0,110.0,2023-01-01,3,2023-10-13→2024-10-19,1.1412839065409166,1.154605324976626,0.022942159188910516
30.0,1.0,110.0,2023-01-01,4,2024-10-19→2025-07-25,1.1072386918417723,1.1625760678151191,0.09293220039111649
30.0,1.0,110.0,2023-01-01,5,2025-07-25→2026-05-05,1.041789032658548,1.1384964393796808,0.16267085340023824
45.0,0.0,110.0,2023-01-01,1,2021-07-11→2022-08-06,1.1537480507648972,1.1537480507648972,0.0
45.0,0.0,110.0,2023-01-01,2,2022-08-06→2023-10-13,1.09055673129318,1.09055673129318,0.0
45.0,0.0,110.0,2023-01-01,3,2023-10-13→2024-10-19,1.1497641135627157,1.154605324976626,0.008368334723220072
45.0,0.0,110.0,2023-01-01,4,2024-10-19→2025-07-25,1.1071594330878713,1.1625760678151191,0.09306205584304905
45.0,0.0,110.0,2023-01-01,5,2025-07-25→2026-05-05,1.0397315806053062,1.1384964393796808,0.16597490701407602
45.0,0.05,110.0,2023-01-01,1,2021-07-11→2022-08-06,1.1299833528993923,1.1537480507648972,0.04077137522799579
45.0,0.05,110.0,2023-01-01,2,2022-08-06→2023-10-13,1.073792795759159,1.09055673129318,0.03050751645701877
45.0,0.05,110.0,2023-01-01,3,2023-10-13→2024-10-19,1.1488308711838306,1.154605324976626,0.00997745976899611
45.0,0.05,110.0,2023-01-01,4,2024-10-19→2025-07-25,1.107148502188594,1.1625760678151191,0.0930799640107145
45.0,0.05,110.0,2023-01-01,5,2025-07-25→2026-05-05,1.039724335396244,1.1384964393796808,0.16598653052387558
45.0,0.1,110.0,2023-01-01,1,2021-07-11→2022-08-06,1.126569523972187,1.1537480507648972,0.04655853280878797
45.0,0.1,110.0,2023-01-01,2,2022-08-06→2023-10-13,1.0704953002392303,1.09055673129318,0.03645277606391095
45.0,0.1,110.0,2023-01-01,3,2023-10-13→2024-10-19,1.1481590863196383,1.154605324976626,0.011134962965119621
45.0,0.1,110.0,2023-01-01,4,2024-10-19→2025-07-25,1.107137715956064,1.1625760678151191,0.09309763499653789
45.0,0.1,110.0,2023-01-01,5,2025-07-25→2026-05-05,1.039717120506687,1.1384964393796808,0.16599810531151615
45.0,0.15,110.0,2023-01-01,1,2021-07-11→2022-08-06,1.125714656972186,1.1537480507648972,0.04800497066116871
45.0,0.15,110.0,2023-01-01,2,2022-08-06→2023-10-13,1.0690134028223885,1.09055673129318,0.039118625841666144
45.0,0.15,110.0,2023-01-01,3,2023-10-13→2024-10-19,1.1476439026536935,1.154605324976626,0.01202217942401207
45.0,0.15,110.0,2023-01-01,4,2024-10-19→2025-07-25,1.1071271286723334,1.1625760678151191,0.09311497987894368
45.0,0.15,110.0,2023-01-01,5,2025-07-25→2026-05-05,1.039709935647692,1.1384964393796808,0.16600963184155504
45.0,0.2,110.0,2023-01-01,1,2021-07-11→2022-08-06,1.1256946167515798,1.1537480507648972,0.04803886561042392
45.0,0.2,110.0,2023-01-01,2,2022-08-06→2023-10-13,1.0682415453019378,1.09055673129318,0.040505691264917765
45.0,0.2,110.0,2023-01-01,3,2023-10-13→2024-10-19,1.1472319767102606,1.154605324976626,0.01273128554478864
45.0,0.2,110.0,2023-01-01,4,2024-10-19→2025-07-25,1.1071167821183405,1.1625760678151191,0.09313193021958388
45.0,0.2,110.0,2023-01-01,5,2025-07-25→2026-05-05,1.039702780536302,1.1384964393796808,0.16602111056892876
45.0,0.3,110.0,2023-01-01,1,2021-07-11→2022-08-06,1.1265345021279984,1.1537480507648972,0.046617811457422165
45.0,0.3,110.0,2023-01-01,2,2022-08-06→2023-10-13,1.0676387279586415,1.09055673129318,0.04158828651652058
45.0,0.3,110.0,2023-01-01,3,2023-10-13→2024-10-19,1.14660622416425,1.154605324976626,0.013807994423071457
45.0,0.3,110.0,2023-01-01,4,2024-10-19→2025-07-25,1.107096931357417,1.1625760678151191,0.09316445047425559
45.0,0.3,110.0,2023-01-01,5,2025-07-25→2026-05-05,1.0396885584532092,1.1384964393796808,0.16604392638930066
45.0,0.5,110.0,2023-01-01,1,2021-07-11→2022-08-06,1.1291544978631993,1.1537480507648972,0.04217806831132054
45.0,0.5,110.0,2023-01-01,2,2022-08-06→2023-10-13,1.0678852688221572,1.09055673129318,0.041145599440413516
45.0,0.5,110.0,2023-01-01,3,2023-10-13→2024-10-19,1.1457860883952262,1.154605324976626,0.015218281689356794
45.0,0.5,110.0,2023-01-01,4,2024-10-19→2025-07-25,1.1070610857399334,1.1625760678151191,0.09322317262055868
45.0,0.5,110.0,2023-01-01,5,2025-07-25→2026-05-05,1.0396604594262238,1.1384964393796808,0.16608900342196964
45.0,0.8,110.0,2023-01-01,1,2021-07-11→2022-08-06,1.1333582454752662,1.1537480507648972,0.035033011158796534
45.0,0.8,110.0,2023-01-01,2,2022-08-06→2023-10-13,1.0693900951449258,1.09055673129318,0.03844132767575403
45.0,0.8,110.0,2023-01-01,3,2023-10-13→2024-10-19,1.1450352862160746,1.154605324976626,0.016508459709663303
45.0,0.8,110.0,2023-01-01,4,2024-10-19→2025-07-25,1.107017633878461,1.1625760678151191,0.09329435273582964
45.0,0.8,110.0,2023-01-01,5,2025-07-25→2026-05-05,1.0396191438565938,1.1384964393796808,0.1661552804895442
45.0,1.0,110.0,2023-01-01,1,2021-07-11→2022-08-06,1.1360573985572937,1.1537480507648972,0.030431297408217817
45.0,1.0,110.0,2023-01-01,2,2022-08-06→2023-10-13,1.070629782675843,1.09055673129318,0.03621066698079589
45.0,1.0,110.0,2023-01-01,3,2023-10-13→2024-10-19,1.1446818929416496,1.154605324976626,0.017115437793581156
45.0,1.0,110.0,2023-01-01,4,2024-10-19→2025-07-25,1.1069953818588691,1.1625760678151191,0.09333080351751832
45.0,1.0,110.0,2023-01-01,5,2025-07-25→2026-05-05,1.039592133870253,1.1384964393796808,0.16619860759071903
